nrc,sigla,seccion,nombre,profesor,horario,escuela,semestre
31536,CDP001,1,Mi Proyecto Profesional: Autoconocimiento y Toma de Decisiones,Romero Sofía,"M:5,6 CLAS AP301",Actividades Universitarias,2026-1
31538,CDP001,2,Mi Proyecto Profesional: Autoconocimiento y Toma de Decisiones,Castillo Karime,"L:5,6 CLAS R206",Actividades Universitarias,2026-1
33123,RCE1000,1,De Atacama a Patagonia: Transformaciones Socioambientales en Terreno,Osses Pablo,"V:1 AYU S12 V:2,3 CLAS ED217",Actividades Universitarias,2026-1
33992,UC_0001,1,Voces. Diálogo Ciudadano y Bien Común,Imbarack Patricia,M-J:5 CLAS S3 J:6 AYU SIN SALA,Actividades Universitarias,2026-1
33993,UC_0001,2,Voces. Diálogo Ciudadano y Bien Común,Bernedo Gilberto,M-J:5 CLAS PLIRA J:6 AYU SIN SALA,Actividades Universitarias,2026-1
33994,UC_0001,3,Voces. Diálogo Ciudadano y Bien Común,Miranda Diego,M-J:5 CLAS SALA-10 J:6 AYU SIN SALA,Actividades Universitarias,2026-1
34098,VRA0000,1,Ruta Novata Uc,"Munoz Javiera, Cabezas María, Morgado Carla, Rodríguez Francisca",: LIB SIN SALA,Actividades Universitarias,2026-1
20303,VRA1220,1,Taller de Habilidades para la Vida Universitaria I,Galleguillos Catalina,L:4 CLAS T3224,Actividades Universitarias,2026-1
20306,VRA1220,2,Taller de Habilidades para la Vida Universitaria I,Cornejo Valeska,M:4 CLAS K301,Actividades Universitarias,2026-1
20307,VRA1220,3,Taller de Habilidades para la Vida Universitaria I,"Vergara Carolina, Galleguillos Catalina",J:5 CLAS K303,Actividades Universitarias,2026-1
33013,VRA1220,4,Taller de Habilidades para la Vida Universitaria I,"Silva Dehuit, Vergara Carolina",J:2 CLAS AP005,Actividades Universitarias,2026-1
33015,VRA1220,5,Taller de Habilidades para la Vida Universitaria I,Silva Dehuit,V:2 CLAS TMP101,Actividades Universitarias,2026-1
28832,VRA1322,1,Introducción al Aprendizaje de las Ciencias Sociales y Humanidades,"Olivares Nicolas, Moya Catalina","J:5,6 CLAS AP501",Actividades Universitarias,2026-1
28660,VRA1323,1,Formación en Docencia para Ayudantes Uc,Corvalan Fernanda,: CLAS SIN SALA,Actividades Universitarias,2026-1
28661,VRA1323,2,Formación en Docencia para Ayudantes Uc,Corvalan Fernanda,: CLAS SIN SALA,Actividades Universitarias,2026-1
28662,VRA1323,3,Formación en Docencia para Ayudantes Uc,Corvalan Fernanda,: CLAS SIN SALA,Actividades Universitarias,2026-1
28663,VRA1323,4,Formación en Docencia para Ayudantes Uc,Corvalan Fernanda,: CLAS SIN SALA,Actividades Universitarias,2026-1
28664,VRA1323,5,Formación en Docencia para Ayudantes Uc,Corvalan Fernanda,: CLAS SIN SALA,Actividades Universitarias,2026-1
28665,VRA1323,6,Formación en Docencia para Ayudantes Uc,Corvalan Fernanda,: CLAS SIN SALA,Actividades Universitarias,2026-1
28666,VRA1323,7,Formación en Docencia para Ayudantes Uc,Corvalan Fernanda,: CLAS SIN SALA,Actividades Universitarias,2026-1
28667,VRA1323,8,Formación en Docencia para Ayudantes Uc,Corvalan Fernanda,: CLAS SIN SALA,Actividades Universitarias,2026-1
28668,VRA1323,9,Formación en Docencia para Ayudantes Uc,Corvalan Fernanda,: CLAS SIN SALA,Actividades Universitarias,2026-1
28669,VRA1323,10,Formación en Docencia para Ayudantes Uc,Corvalan Fernanda,: CLAS SIN SALA,Actividades Universitarias,2026-1
28670,VRA1323,11,Formación en Docencia para Ayudantes Uc,Corvalan Fernanda,: CLAS SIN SALA,Actividades Universitarias,2026-1
28671,VRA1323,12,Formación en Docencia para Ayudantes Uc,Corvalan Fernanda,: CLAS SIN SALA,Actividades Universitarias,2026-1
